ticker,name,sector,industry,volatility,market_cap,tags
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,0.21682094616901407,64854327296,"Consumer Cyclical, Auto Parts"
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,0.21838468401428157,29715048448,"Real Estate, REIT - Residential"
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,0.2273599270686442,14349913088,"Consumer Cyclical, Packaging & Containers"
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,0.5665257592212307,57788276736,"Industrials, Aerospace & Defense"
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,0.3619669056588368,37559332864,"Energy, Oil & Gas Equipment & Services"
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,0.2616076320785877,15072119808,"Consumer Cyclical, Packaging & Containers"
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,0.29038747815168037,337126948864,"Financial Services, Banks - Diversified"
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,0.3296632679262296,16164088832,"Healthcare, Medical Instruments & Supplies"
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,0.2837638411417936,50762403840,"Healthcare, Medical Instruments & Supplies"
BRK.B,N/A,Unknown,Unknown,0.3,0,"Unknown, Unknown"
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,0.44418138077808383,15158834176,"Consumer Cyclical, Specialty Retail"
TECH,Bio-Techne Corp,Healthcare,Biotechnology,0.4000897068280368,7725477888,"Healthcare, Biotechnology"
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,0.28615237581447744,18966585344,"Healthcare, Drug Manufacturers - General"
BLK,"BlackRock, Inc.",Financial Services,Asset Management,0.26092983483855126,153961431040,"Financial Services, Asset Management"
BX,Blackstone Inc.,Financial Services,Asset Management,0.38480578756894435,176532226048,"Financial Services, Asset Management"
BK,The Bank of New York Mellon Cor,Financial Services,Banks - Diversified,0.24636442959726404,64632303616,"Financial Services, Banks - Diversified"
BA,Boeing Company (The),Industrials,Aerospace & Defense,0.39877249154454125,154759741440,"Industrials, Aerospace & Defense"
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,0.2940801490276682,175001731072,"Consumer Cyclical, Travel Services"
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,0.2233439494179267,157798137856,"Healthcare, Medical Devices"
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,0.3161184513311392,96116826112,"Healthcare, Drug Manufacturers - General"
AVGO,Broadcom Inc.,Technology,Semiconductors,0.6331483636401113,1084410757120,"Technology, Semiconductors"
